area_sqft,bedrooms,bathrooms,age_years,distance_from_city_km,parking,furnishing,location,price
1360,1,1,17,22,0,Furnished,Urban,6400000
4272,1,1,7,30,2,Furnished,Suburban,17200000
3592,3,2,13,17,1,Furnished,Urban,22500000
966,3,2,9,26,0,Unfurnished,Rural,1450000
4926,3,3,27,36,1,Furnished,Suburban,19300000
3944,4,4,2,1,1,Unfurnished,Suburban,12050000
3671,6,5,5,8,0,Semi-Furnished,Urban,21250000
3419,1,1,29,35,2,Unfurnished,Rural,4750000
630,4,3,19,15,2,Unfurnished,Urban,2550000
2185,3,2,8,22,3,Unfurnished,Urban,9150000
1269,1,1,1,14,0,Unfurnished,Urban,5250000
2891,4,4,22,26,3,Semi-Furnished,Urban,14950000
2933,6,5,17,28,3,Semi-Furnished,Rural,6450000
1684,4,3,7,23,3,Furnished,Rural,4550000
3885,6,5,25,14,2,Furnished,Urban,25200000
4617,3,2,4,24,0,Semi-Furnished,Suburban,16200000
3404,6,5,6,2,3,Semi-Furnished,Rural,8250000
974,1,1,31,26,0,Furnished,Rural,850000
1582,3,3,19,14,0,Semi-Furnished,Suburban,5400000
3058,1,1,27,7,2,Unfurnished,Rural,4600000
2547,5,5,10,3,3,Semi-Furnished,Rural,6250000
3247,2,1,26,23,3,Semi-Furnished,Suburban,10250000
1475,6,5,19,18,0,Unfurnished,Urban,6600000
2306,2,2,3,38,1,Unfurnished,Suburban,6150000
689,2,2,13,35,2,Semi-Furnished,Rural,1050000
3234,6,5,28,15,2,Unfurnished,Urban,14050000
3505,3,2,20,25,2,Unfurnished,Rural,5550000
2399,5,4,28,37,2,Unfurnished,Urban,9000000
1767,1,1,8,28,3,Furnished,Urban,10150000
2028,4,3,1,10,3,Semi-Furnished,Urban,12400000
3702,1,1,3,39,1,Furnished,Urban,21650000
4056,4,3,13,17,2,Furnished,Rural,10250000
4390,1,1,28,39,2,Semi-Furnished,Rural,8050000
1146,6,5,25,22,0,Semi-Furnished,Rural,2600000
3388,5,4,33,26,3,Unfurnished,Suburban,9000000
2935,4,4,6,25,2,Furnished,Urban,19500000
1100,3,2,32,17,1,Unfurnished,Suburban,2350000
2863,1,1,21,13,1,Semi-Furnished,Suburban,8850000
2561,1,1,16,20,3,Semi-Furnished,Suburban,8300000
741,4,3,21,25,1,Unfurnished,Urban,2650000
2541,3,3,11,4,1,Semi-Furnished,Suburban,9250000
3324,3,3,35,10,3,Furnished,Suburban,13100000
3112,6,5,19,3,2,Unfurnished,Rural,5700000
1863,6,5,20,18,2,Furnished,Rural,5150000
1978,6,5,18,36,1,Furnished,Suburban,8200000
